t,h,lon,lat,v,gam,azm,alpha,beta,q
0,260000,0,0,25600,-1,90,29.03025431,-31.79549695,43.58216992
4.777575577,257899.0238,0.331030632,6.46E-05,25589.84925,-0.9684403592,89.97729743,29.15596087,-31.81668047,45.41240494
14.76572977,253744.4899,1.022738082,0.000658860116,25564.59,-0.8930271311,89.92251361,29.0425131,-32.55921532,49.48368339
27.25037278,249075.1417,1.886453907,0.00243693237,25525.38031,-0.7816907046,89.83856286,28.73484142,-33.87305128,54.56552059
38.88514915,245327.8865,2.690241898,0.005348713695,25481.76698,-0.6634822559,89.74350923,28.12814439,-35.82990593,59.23737409
46.55581247,243206.178,3.219459719,0.008044375965,25450.0637,-0.5808244377,89.67153764,27.63438957,-37.5950877,62.14140145
48.48603458,242717.2753,3.352534027,0.008829585793,25441.76116,-0.5596633328,89.65222119,27.55262104,-38.04429419,62.79421767
48.48603458,242717.2753,3.352534027,0.008829585793,25441.76116,-0.5596633328,89.65222119,27.55262104,-38.04429419,62.79421767
53.26361015,241586.5342,3.681735319,0.01096983733,25420.72557,-0.506882087,89.60242924,27.10972312,-39.16939154,64.55362348
63.25176435,239581.7284,4.369144262,0.01639377066,25376.46084,-0.3994567494,89.49183956,25.95385295,-42.08218678,68.11306619
75.73640736,237733.2546,5.226721401,0.02514075279,25318.06956,-0.2705563466,89.33464913,26.25639198,-47.17422493,69.99918774
87.37118373,236644.2288,6.024056447,0.03559639334,25255.48892,-0.1546192763,89.15715723,27.30372772,-53.03160536,69.99967452
95.04184705,236241.3246,6.548597936,0.04391481973,25210.59678,-0.08572872802,89.02420567,27.51810395,-57.1775965,69.99261555
96.97206915,236175.0384,6.680443034,0.04620008618,25199.14209,-0.06999709883,88.98940341,27.51141711,-58.24093231,69.99919844
96.97206915,236175.0384,6.680443034,0.04620008618,25199.14209,-0.06999709883,88.98940341,27.51141711,-58.24093231,69.99919844
101.7496447,236066.3214,7.006514242,0.05220144744,25170.7025,-0.03432438621,88.90137398,27.42928508,-60.82368819,69.99957425
111.7377989,236052.1883,7.686997474,0.06636758698,25112.12246,0.02420013609,88.71281167,26.95665794,-65.80867645,69.99979913
124.2224419,236316.3316,8.535318491,0.08717264798,25043.12007,0.06726339554,88.47844704,26.0002734,-70.85565402,69.9997981
135.8572183,236705.6875,9.323788324,0.1095652257,24984.6007,0.08274359908,88.27004575,24.96259504,-73.85822973,69.99968755
143.5278816,236985.5792,9.842592947,0.125827801,24949.17902,0.08375697013,88.14011135,24.27875181,-74.97734587,69.99864609
145.4581037,237055.7374,9.973022527,0.1300993972,24940.64356,0.08312686575,88.10840622,24.11054856,-75.19319927,69.99874652
145.4581037,237055.7374,9.973022527,0.1300993972,24940.64356,0.08312686575,88.10840622,24.11054856,-75.19319927,69.99874652
150.2356793,237225.8672,10.29565377,0.1409722795,24920.13373,0.08024188403,88.03161982,23.70507458,-75.65549421,69.9993139
160.2238335,237552.3038,10.96927464,0.1650336322,24879.86712,0.06921367971,87.87855997,22.92498245,-76.04436222,69.99959442
172.7084765,237876.1167,11.80969823,0.1974912602,24833.72693,0.04961807267,87.70020126,22.10739154,-75.40518562,69.9995353
184.3432529,238074.227,12.59146317,0.2299591353,24793.94769,0.0287858561,87.5448389,21.5182356,-74.22760057,69.99887941
192.0139162,238146.1585,13.10615137,0.252469921,24768.9774,0.01452303574,87.44695466,21.22197838,-73.26173602,69.99741897
193.9441383,238156.7588,13.23557878,0.2582682227,24762.81683,0.01094345184,87.42279964,21.15889217,-72.9659108,69.99682325
193.9441383,238156.7588,13.23557878,0.2582682227,24762.81683,0.01094345184,87.42279964,21.15889217,-72.9659108,69.99682325
198.7217139,238170.2973,13.5557821,0.2728465299,24747.74406,0.002183567271,87.36374203,21.02052996,-72.25272491,69.99634619
208.7098681,238140.9634,14.22453973,0.3043474516,24716.86345,-0.01563506561,87.24303024,20.81148787,-70.7604381,69.99860516
221.1945111,238000.773,15.0591998,0.3456179355,24678.94003,-0.03606046527,87.09590281,20.69821857,-68.69964594,69.99822998
