x_aoa,y_aoa,x_aoa_h,y_aoa_h,x_bank,y_bank,x_bank_h,y_bank_h,x_heat,y_heat,x_heat_h,y_heat_h
13.2885906,28.36437247,8.619339794,17.48053659,40.99344864,-73.96245129,19.59847426,-32.62171539,14.54760497,55.95298724,21.01347674,46.95991431
48.78866314,29.02897444,38.09511771,17.44328781,74.01939203,-72.8286344,43.11792453,-35.73076305,36.4918346,65.84907866,44.51999104,55.93614411
82.78702919,29.24472356,72.45937119,17.35873991,109.247065,-72.79636285,47.56001048,-37.66425703,52.39124172,75.35336377,57.6581471,65.37080169
116.7853952,29.17804833,99.04541574,17.4119103,142.0026205,-71.44774706,64.51124819,-42.04769147,54.79030333,87.00435976,88.35878229,68.05933112
150.7837613,28.65459796,129.5625873,17.34663253,175.9942348,-71.30948575,75.04944095,-46.93997058,75.23288197,97.94602757,123.6185537,68.89982296
184.7821273,27.84255329,149.540873,17.28788796,209.9858491,-70.88891738,78.03658281,-51.61583023,86.1159814,108.9711202,156.9296621,69.1279283
218.7804934,27.04842137,172.6145681,17.23590161,244.5227833,-70.60407416,87.82204752,-56.56609014,101.2727304,118.3595438,191.5643907,70.69259743
252.7788594,26.60060262,204.9572511,17.19171322,277.9690776,-69.71051416,92.73194736,-62.32537723,110.1065975,129.4795548,225.5373091,70.73619323
286.7772255,26.58866079,248.1608057,17.19067349,310.2967667,-68.39351724,97.19549266,-50.79518072,129.795448,138.5231386,259.5102276,69.97957304
320.7755915,26.96482854,289.8644264,17.22082557,346.4976261,-67.39126009,108.7241171,-66.93489369,142.3422645,148.1086498,291.8201361,67.94321257
354.7739576,27.58580387,329.7235883,17.25617629,382.6705204,-65.72282285,111.101153,-61.12771084,159.1356958,158.4744109,327.4560645,68.14196893
388.7723236,28.43367404,368.6339414,17.27489137,413.9355346,-64.93736309,120.0080466,-71.33342923,159.1356958,150.2230586,361.428983,68.14100927
422.7706897,29.19795138,418.0306137,17.28903166,449.0087002,-63.36982736,144.0021273,-74.46470361,178.8472554,164.199294,395.4019015,68.13292074
457.7993093,30.09734835,464.3337442,17.29776536,482.7319596,-61.87965586,178.7208349,-74.64429103,206.0563349,162.8951055,429.3748199,68.13196109
490.7674218,30.54737855,507.5509476,17.30660304,513.9587057,-60.86766319,193.1995108,-73.70423918,218.2373432,155.9735354,463.3477384,68.12030812
527.4150112,30.23148863,550.7718865,17.31814401,547.1753915,-59.68275741,208.7841253,-71.72192044,237.0086842,149.9894384,497.3206569,68.1229129
558.7641539,28.9531438,600.1616626,17.32729361,585.6826382,-58.32962498,228.3335954,-66.61944908,242.0825616,140.8387487,531.2935753,68.11125994
592.7625199,27.89032062,646.4596209,17.3322843,617.5418705,-56.98619466,259.4281971,-63.95688361,259.9220206,134.3046989,565.2664938,68.11742915
626.760886,27.23351979,692.7552806,17.33561142,650.7861944,-55.67030405,292.6840621,-61.45957478,270.2289559,125.3285503,599.2394123,68.10221175
660.759252,27.31114171,739.0486414,17.33727498,686.5551479,-54.31229224,327.4114256,-59.26801004,290.5877269,117.8391254,633.2123307,68.10481653
694.7576181,28.02168079,785.3328073,17.3322843,720.3750874,-52.51505446,361.4030398,-59.59696564,306.563628,108.6194443,667.1852492,68.096728
728.7559841,28.95911471,831.6158238,17.32646182,756.5003744,-51.65789536,395.3946541,-59.61001176,324.9467012,101.1373243,701.1581677,68.09220391
762.7543502,29.72936297,874.8084593,17.31752017,786.1050839,-50.24978631,432.0349656,-59.53774038,344.545472,94.42227957,735.1310861,68.09124425
796.7527163,29.86669405,921.0822808,17.30504345,819.883234,-49.14560135,464.678997,-58.32805843,371.3120138,89.48781626,769.1040046,68.08315573
830.7510823,29.1680968,965.812588,17.29222015,855.8265199,-47.98311288,494.7207996,-56.59378934,372.4959186,92.77564334,803.0769231,68.08219607
864.7494484,28.11124454,1007.4483,17.27322781,887.4146867,-46.88091405,531.3611111,-55.14524162,413.5692375,92.02314994,837.0498415,68.0705431
898.7478144,27.50221104,1053.71149,17.25305711,925.7614201,-45.39220644,565.3527254,-54.5524644,444.3537885,96.45059063,871.02276,68.07314788
932.7461805,27.71119312,1096.887747,17.23226257,957.9485125,-44.10019525,598.5203005,-54.08373167,463.3477384,96.01558817,904.9956785,68.06149492
966.7445465,28.53517963,1140.058975,17.20782899,992.5655136,-42.19451872,633.3359539,-52.29577488,466.0728388,105.096099,938.9685969,68.06766414
1000.742913,29.34125338,1184.461758,17.18131595,1024.067843,-41.0579404,667.3275681,-51.5075405,483.8087007,113.9920594,972.9415154,68.05244673
1034.741279,29.52038088,1223.311051,17.15584264,1059.776205,-39.89036063,700.5466457,-50.54359991,513.4982371,121.3226721,1006.914434,68.05505151
1068.739645,28.92328921,1264.936371,17.12932961,1092.051072,-38.39472722,735.3107966,-49.61035798,546.735811,127.2635224,1040.887352,68.04696299
1102.738011,28.05153538,1306.563127,17.1038563,1126.471873,-36.59893632,769.3024109,-49.6384244,580.7087295,129.3013016,1074.860271,68.04600333
1136.736377,27.73507679,1349.748722,17.08981999,1162.045348,-35.97307211,803.2940252,-49.7461067,606.8696934,122.7530231,1108.833189,67.94167502
1170.734743,28.16498279,1392.95084,17.08774053,1194.712614,-34.11572744,837.0479358,-49.58481264,621.201703,114.6579566,1142.806108,68.14477935
1204.733109,28.9173183,1439.241902,17.08774053,1231.873609,-33.5884435,871.2772537,-48.33671115,648.6545664,112.3103274,1176.779026,68.52432329
1238.731475,29.24571871,1491.705106,17.08774053,1263.725891,-32.46972537,907.2553908,-47.69025846,648.6545664,104.9072983,1210.751945,68.76218088
1272.729841,28.87552188,1537.996168,17.08774053,1297.253983,-30.66970817,939.00297,-46.48995984,667.1852492,107.9863369,1244.724863,68.74696348
1306.728207,28.20080829,1584.28723,17.08774053,1333.34508,-28.96830488,973.2520964,-46.03962697,673.5551714,100.0232838,1278.697782,68.75313269
1340.726573,27.92017521,1630.578293,17.08774053,1362.974134,-28.03660131,1007.243711,-45.57424619,701.5993744,96.55924993,1312.6707,68.57751565
1374.724939,28.24260471,1676.869355,17.08774053,1401.409096,-27.11327681,1043.374657,-45.51052355,712.6295427,93.35920306,1347.930472,67.77527752
1408.723305,28.69639438,1720.074346,17.08774053,1432.293396,-25.60272894,1074.49119,-44.65721643,750.1321151,94.5408153,1378.665939,64.69546044
1442.721671,28.85760913,1766.365408,17.08774053,1469.814909,-24.05391244,1109.218553,-42.96267449,779.507195,95.1307031,1407.274712,59.52104157
1476.720037,28.53517963,1812.65647,17.08774053,1503.618862,-22.93696079,1143.210168,-42.96170811,815.4307116,98.14372127,1436.894907,55.73613048
