x_aoa,y_aoa,x_aoa_c,y_aoa_c,x_bank,y_bank,x_bank_c,y_bank_c,x_heat,y_heat,x_heat_c,y_heat_c
20.18386411,17.42581657,29.15838304,29.71749051,40.99344864,-73.96245129,19.59847426,-32.62171539,14.54760497,55.95298724,21.01347674,46.95991431
70.96067351,17.43693392,35.17446048,28.90020447,74.01939203,-72.8286344,43.11792453,-35.73076305,36.4918346,65.84907866,44.51999104,55.93614411
104.9590589,17.43712099,50.36447979,28.12778631,109.247065,-72.79636285,47.56001048,-37.66425703,52.39124172,75.35336377,57.6581471,65.37080169
133.8061738,17.40700259,74.29817232,26.74673511,142.0026205,-71.44774706,64.51124819,-42.04769147,54.79030333,87.00435976,88.35878229,68.05933112
137.9271903,17.42415075,87.47514911,27.90262215,175.9942348,-71.30948575,75.04944095,-46.93997058,75.23288197,97.94602757,123.6185537,68.89982296
172.9558298,17.39970683,106.2148846,27.95679955,209.9858491,-70.88891738,78.03658281,-51.61583023,86.1159814,108.9711202,156.9296621,69.1279283
206.9542152,17.37351691,129.3802403,26.25332328,244.5227833,-70.60407416,87.82204752,-56.56609014,101.2727304,118.3595438,191.5643907,70.69259743
240.9526006,17.35462276,149.4568819,24.38415767,277.9690776,-69.71051416,92.73194736,-62.32537723,110.1065975,129.4795548,225.5373091,70.73619323
274.950986,17.34938478,172.6222376,22.73033554,310.2967667,-68.39351724,97.19549266,-50.79518072,129.795448,138.5231386,259.5102276,69.97957304
308.9493715,17.35742882,205.0537356,21.32531065,346.4976261,-67.39126009,108.7241171,-66.93489369,142.3422645,148.1086498,291.8201361,67.94321257
342.9477569,17.37389106,248.2957328,21.29466482,382.6705204,-65.72282285,111.101153,-61.12771084,159.1356958,158.4744109,327.4560645,68.14196893
376.9461423,17.39877148,289.9933731,22.25701424,413.9355346,-64.93736309,120.0080466,-71.33342923,159.1356958,150.2230586,361.428983,68.14100927
410.9445277,17.42421311,329.8377849,23.3847722,449.0087002,-63.36982736,144.0021273,-74.46470361,178.8472554,164.199294,395.4019015,68.13292074
444.9429132,17.44666161,368.7555824,23.98283324,482.7319596,-61.87965586,178.7208349,-74.64429103,206.0563349,162.8951055,429.3748199,68.13196109
478.9412986,17.46200141,418.1750079,24.43583879,513.9587057,-60.86766319,193.1995108,-73.70423918,218.2373432,155.9735354,463.3477384,68.12030812
512.939684,17.45994363,464.5057193,24.71653446,547.1753915,-59.68275741,208.7841253,-71.72192044,237.0086842,149.9894384,497.3206569,68.1229129
546.9380694,17.43674685,507.7477166,25.00036491,585.6826382,-58.32962498,228.3335954,-66.61944908,242.0825616,140.8387487,531.2935753,68.11125994
580.9364548,17.4030741,550.9897139,25.37026255,617.5418705,-56.98619466,259.4281971,-63.95688361,259.9220206,134.3046989,565.2664938,68.11742915
614.9348403,17.37613591,600.4091394,25.66437482,650.7861944,-55.67030405,292.6840621,-61.45957478,270.2289559,125.3285503,599.2394123,68.10221175
648.9332257,17.36996257,646.7398508,25.82590053,686.5551479,-54.31229224,327.4114256,-59.26801004,290.5877269,117.8391254,633.2123307,68.10481653
682.9316111,17.38623773,693.0705621,25.93446181,720.3750874,-52.51505446,361.4030398,-59.59696564,306.563628,108.6194443,667.1852492,68.096728
716.9299965,17.41392421,739.4012735,25.99005866,756.5003744,-51.65789536,395.3946541,-59.61001176,324.9467012,101.1373243,701.1581677,68.09220391
750.928382,17.44759696,785.7319849,25.83379781,786.1050839,-50.24978631,432.0349656,-59.53774038,344.545472,94.42227957,735.1310861,68.09124425
784.9267674,17.47241502,832.0626963,25.65105474,819.883234,-49.14560135,464.678997,-58.32805843,371.3120138,89.48781626,769.1040046,68.08315573
817.3797717,17.45758966,875.3046936,25.36882788,855.8265199,-47.98311288,494.7207996,-56.59378934,372.4959186,92.77564334,803.0769231,68.08219607
849.8327759,17.413363,921.635405,24.9742271,887.4146867,-46.88091405,531.3611111,-55.14524162,413.5692375,92.02314994,837.0498415,68.0705431
883.8311613,17.38492823,966.4217593,24.56850432,925.7614201,-45.39220644,565.3527254,-54.5524644,444.3537885,96.45059063,871.02276,68.07314788
917.8295468,17.37987732,1008.1194,23.9661963,957.9485125,-44.10019525,598.5203005,-54.08373167,463.3477384,96.01558817,904.9956785,68.06149492
951.8279322,17.39877148,1054.450111,23.32663505,992.5655136,-42.19451872,633.3359539,-52.29577488,466.0728388,105.096099,938.9685969,68.06766414
985.8263176,17.42720624,1097.692108,22.66703665,1024.067843,-41.0579404,667.3275681,-51.5075405,483.8087007,113.9920594,972.9415154,68.05244673
1016.733941,17.44527728,1140.934106,21.89157856,1059.776205,-39.89036063,700.5466457,-50.54359991,513.4982371,121.3226721,1006.914434,68.05505151
1050.732326,17.43730806,1185.411588,21.04998514,1092.051072,-38.39472722,735.3107966,-49.61035798,546.735811,127.2635224,1040.887352,68.04696299
