t,h,lon,lat,v,gam,azm,alpha,beta,q
0,260000,0,0,25600,-1,90,29.06980825,-31.22027148,43.55770728
2.373534679,258947.6434,0.164470381,1.59E-05,25595.11788,-0.9848426763,89.98877316,29.10706687,-33.21515235,44.48183206
7.335723133,256801.8632,0.5082391067,0.0001593052565,25583.91873,-0.9511479762,89.96302432,29.117589,-33.12812591,46.46351749
13.53818559,254232.0172,0.937757722,0.0005663995392,25568.05454,-0.9044502439,89.92773401,29.04290877,-33.47087388,48.99955526
19.31842805,251960.5554,1.337833098,0.001197629798,25551.32402,-0.8567601714,89.89071706,29.01429302,-34.18502052,51.31216125
23.12926999,250533.3044,1.601473701,0.001761030945,25539.23214,-0.8229638713,89.86422324,28.92853792,-34.20889028,52.86160625
24.08821853,250183.4622,1.667798507,0.001922117158,25536.0697,-0.8141774345,89.85732575,28.86869796,-34.38237272,53.2766275
24.08821853,250183.4622,1.667798507,0.001922117158,25536.0697,-0.8141774345,89.85732575,28.86869796,-34.38237272,53.2766275
26.46175321,249333.9549,1.831931356,0.002355862718,25528.05845,-0.7921116379,89.83970631,28.77494798,-34.91024731,54.25611397
31.42394166,247635.967,2.174923794,0.003431587305,25510.29706,-0.7440601386,89.80037295,28.65581491,-35.63678876,56.20180738
37.62640412,245668.6702,2.603338006,0.005120996661,25486.46624,-0.6808788905,89.74696357,28.25835662,-36.57656273,58.73829499
43.40664657,243997.1424,3.002254376,0.007068746502,25462.79772,-0.6196034166,89.69277489,28.03218011,-37.79629354,60.86154013
47.21748852,242983.1281,3.26506554,0.008565012943,25446.3897,-0.5781388349,89.65446599,27.76314826,-38.67611347,62.28979082
48.17643705,242739.1775,3.331173665,0.008969440573,25442.21514,-0.5676844083,89.64457434,27.58344536,-38.88512556,62.74081844
48.17643705,242739.1775,3.331173665,0.008969440573,25442.21514,-0.5676844083,89.64457434,27.58344536,-38.88512556,62.74081844
50.54997173,242154.5209,3.494757854,0.01001937495,25431.88826,-0.5419327236,89.6198014,27.33704359,-39.41236729,63.66363456
55.51216019,241021.3109,3.836548022,0.01244798268,25409.59029,-0.487476703,89.56545418,27.16542893,-40.66233389,65.18416703
