t,h,lon,lat,v,gam,azm,alpha,beta,q
0,260000,0,0,25600,-1,90,17.49797735,-64.31614414,51.90544787
3.295647402,258528.7084,0.2283836512,2.55E-05,25598.52952,-0.9987721751,89.98697632,17.50001754,-74.13969703,53.52367763
10.18563457,255455.6669,0.7058536779,0.0002598853242,25594.77194,-0.9979895877,89.95607611,17.48555438,-74.64379486,57.08066427
18.79773932,251622.3617,1.30264809,0.0009421614773,25588.59402,-0.9946845903,89.91179123,17.50243361,-73.98730345,61.80503687
26.82359257,248065.1972,1.858765715,0.002026894344,25581.12113,-0.9904514257,89.86342103,17.48084651,-74.38304885,66.56408801
32.11493778,245729.9926,2.22536085,0.003013878805,25575.19158,-0.986316556,89.82764307,17.4500837,-72.89989416,69.89587402
33.4464356,245144.3205,2.31760222,0.003298855048,25573.56236,-0.9849881356,89.8181285,17.45098013,-73.13920053,70.74633116
33.4464356,245144.3205,2.31760222,0.003298855048,25573.56236,-0.9849881356,89.8181285,17.45098013,-73.13920053,70.74633116
36.74208301,243697.9159,2.545897462,0.004072191803,25569.26815,-0.9818223052,89.7934332,17.46257148,-73.88341296,72.87790927
43.63207017,240690.9557,3.023094998,0.006024389372,25559.00727,-0.9742603123,89.73658263,17.47348806,-73.74466624,77.5210419
52.24417492,236971.6346,3.619360933,0.009180152584,25543.49893,-0.9621389269,89.65483227,17.4690738,-73.70221612,83.67112836
60.27002818,233554.8031,4.174769098,0.01294447301,25525.9824,-0.947942068,89.56641214,17.48431678,-73.40967522,89.68695467
65.56137339,231333.9451,4.540765798,0.01592017244,25512.60545,-0.9364373511,89.5009478,17.48632737,-72.98272956,93.81647228
66.89287121,230779.7772,4.63283866,0.01673609157,25508.99673,-0.9332477962,89.48352917,17.4785581,-73.00258057,94.88571267
66.89287121,230779.7772,4.63283866,0.01673609157,25508.99673,-0.9332477962,89.48352917,17.4785581,-73.00258057,94.88571267
70.18851861,229416.7019,4.860684218,0.01887830911,25499.63664,-0.9250456409,89.43868342,17.46524964,-73.0997396,97.55304345
77.07850578,226609.9682,5.336781807,0.02395946788,25477.92618,-0.9059689455,89.33637277,17.47003322,-73.08056181,103.2000664
85.69061053,223194.7291,5.93133598,0.03158394794,25446.33362,-0.8779554112,89.19074441,17.46708466,-73.01109022,110.4603273
93.71646378,220121.1758,6.484768267,0.04013442312,25412.00678,-0.8469168408,89.03569425,17.465906,-72.68558063,117.3430405
99.00780899,218161.8022,6.849239165,0.04662450479,25386.57073,-0.8232981432,88.92247443,17.4666771,-72.46118594,121.8972036
100.3393068,217678.0498,6.940898213,0.04837236014,25379.80307,-0.8169644391,88.89253973,17.46321878,-72.46777098,123.048427
100.3393068,217678.0498,6.940898213,0.04837236014,25379.80307,-0.8169644391,88.89253973,17.46321878,-72.46777098,123.048427
103.6349542,216497.5815,7.167665565,0.05290659145,25362.40536,-0.8007439123,88.81585589,17.46445608,-72.49315349,125.8703843
