t,h,lon,lat,v,gam,azm,alpha,beta,q
0,260000,0,0,25600,-1,90,17.38798011,-66.15513673,51.99726507
4.398105589,258036.7318,0.3047833065,4.53E-05,25598.05777,-0.9985997407,89.98260563,17.32559982,-74.09551102,54.22848897
13.59292754,253937.7006,0.9419773401,0.000467394188,25592.7425,-0.9971207753,89.94021443,17.39226273,-74.42630038,59.00434309
25.08594891,248833.0953,1.738381203,0.001729225329,25583.20333,-0.9911839627,89.87596674,17.44094609,-73.49449039,65.55724739
35.79660626,244113.5283,2.480427006,0.003796939778,25570.90049,-0.9827794168,89.80223102,17.42870149,-74.01386442,72.29784952
42.85800941,241028.2988,2.96951974,0.005723871691,25560.66303,-0.9750272452,89.74517495,17.43928153,-73.04542014,77.03121926
44.63491916,240256.534,3.092572344,0.006287615994,25557.78428,-0.9725928154,89.72965859,17.43987974,-73.17288576,78.2625298
44.63491916,240256.534,3.092572344,0.006287615994,25557.78428,-0.9725928154,89.72965859,17.43987974,-73.17288576,78.2625298
49.03302475,238354.7545,3.397101834,0.007831256827,25550.10573,-0.9664394963,89.68893652,17.44254355,-73.55492612,81.37409721
58.2278467,234424.0455,4.033522609,0.0118069152,25531.2473,-0.9509450897,89.59259284,17.45437174,-73.25091876,88.16218203
69.72086807,229619.1464,4.828423783,0.01842810286,25501.61099,-0.9254064601,89.44811141,17.45108924,-73.15271045,97.1842254
80.43152542,225280.7943,5.568427064,0.02657554466,25466.92215,-0.894729764,89.28537923,17.45689598,-72.8485266,106.0041374
87.49292857,222512.0657,6.055774676,0.03317207588,25439.77096,-0.8697476024,89.16128981,17.4640671,-72.49466927,111.9726572
89.26983832,221828.7701,6.178332802,0.03500188163,25432.35961,-0.8628115254,89.12779457,17.46211265,-72.52571709,113.493611
89.26983832,221828.7701,6.178332802,0.03500188163,25432.35961,-0.8628115254,89.12779457,17.46211265,-72.52571709,113.493611
93.66794391,220162.3812,6.481536166,0.03984565589,25412.97885,-0.8448471333,89.04071372,17.45667754,-72.59990072,117.2726589
102.8627659,216804.0722,7.114677766,0.051538185,25367.40023,-0.8023305385,88.83860588,17.45873418,-72.35694457,125.1496557
114.3557872,212884.2992,7.9043991,0.06951689776,25300.05433,-0.7382867208,88.54510682,17.46117239,-72.10054456,134.7819292
125.0664446,209559.5164,8.63834766,0.09014263751,25226.33799,-0.6680762571,88.22816381,17.44783828,-72.04320507,143.2745429
132.1278477,207563.6861,9.120989261,0.1060392827,25171.83865,-0.6164729897,87.99573378,17.44464785,-71.9490818,148.4285195
133.9047575,207087.9058,9.242268941,0.1103483583,25157.38073,-0.6027782961,87.93429649,17.44795072,-71.90630113,149.6474194
133.9047575,207087.9058,9.242268941,0.1103483583,25157.38073,-0.6027782961,87.93429649,17.44795072,-71.90630113,149.6474194
138.3028631,205958.3703,9.542139608,0.1215729346,25120.30951,-0.5676376597,87.77715533,17.45056295,-71.80908814,152.5423945
147.497685,203829.6239,10.1675174,0.1477367976,25037.1871,-0.489062048,87.42638893,17.43829832,-71.64605354,157.9353522
158.9907064,201642.2914,10.94598012,0.185929291,24923.42002,-0.3825316575,86.94892034,17.43858836,-71.45102778,163.0654822
169.7013637,200106.3356,11.66788285,0.2273968117,24809.05544,-0.2776349443,86.47090677,17.43077239,-71.35470618,166.0727394
176.7627669,199365.7905,12.14179555,0.2579798754,24730.39109,-0.2075364446,86.14280858,17.40939594,-71.30754445,167.0974692
178.5396766,199213.4062,12.26078566,0.2660896172,24710.29938,-0.1899296441,86.05908259,17.40380988,-71.28122279,167.2305249
178.5396766,199213.4062,12.26078566,0.2660896172,24710.29938,-0.1899296441,86.05908259,17.40380988,-71.28122279,167.2305249
182.9377822,198894.7178,12.55483719,0.2868840472,24660.17633,-0.1464547171,85.85037325,17.38943839,-71.18176721,167.3463801
192.1326042,198494.2375,13.16740696,0.3336886785,24554.19579,-0.05665610237,85.40988772,17.3763638,-70.95422705,166.5785971
203.6256256,198482.4134,13.92884077,0.3985113615,24421.12642,0.05066025877,84.85800543,17.39231275,-70.77532389,163.8213352
214.3362829,198924.0346,14.63414853,0.4651292375,24298.91104,0.1415719236,84.35211789,17.37844358,-70.64434117,159.8633274
221.3976861,199428.5171,15.09689938,0.5122179134,24220.49913,0.1949844918,84.02828785,17.36065621,-70.53645308,156.6609689
223.1745958,199579.6515,15.21306708,0.5244510749,24201.10084,0.2075283498,83.94828302,17.36246625,-70.51076061,155.7761561
223.1745958,199579.6515,15.21306708,0.5244510749,24201.10084,0.2075283498,83.94828302,17.36246625,-70.51076061,155.7761561
227.5727014,199992.496,15.50012417,0.5553790686,24153.69655,0.2370377218,83.75293993,17.36838574,-70.41355131,153.4895355
236.7675234,201017.9977,16.09810996,0.6229334601,24057.79893,0.2914816979,83.35878054,17.36144689,-70.15408453,148.411185
